;dXeYYT;Lucina Melmar;3578 Evergreen Lane;42;-2;0;
70780380C;aHMBdB;Annelise Sinton;1 Monument Plaza;39;0;0;
70782322J;XuMrSd;Kenton Latore;3 School Place;42;-4;0;
70784218F;XMBHv7cmP4vg;Faber McPhilip;27395 Harper Park;38;3;0;
70787386J;LHRF7mOw;Kali McAuslan;019 Rowland Junction;39;-0;0;
70799442C;uj2pbf;Caren Gaylard;58 Butternut Drive;43;-1;0;
70810689K;sYO1TmSCUeI;Angelina Pues;8 Butterfield Point;41;-3;0;
70812807J;PfKRJbn9K;Camila Holywell;227 Grasskamp Trail;37;-2;0;
70822118L;1QNjGv6y;Almeria Bartholomieu;1 Monterey Crossing;43;0;0;
70849039Z;gp8IbFcIkm2Y;Johnna Liverock;6112 Bashford Place;38;-4;0;
70897377M;B1UllDzcId;Dorita Souch;7327 Duke Hill;37;1;0;
70902928E;r1lzuB;Upton Pohlke;4 Vidon Court;38;-1;0;
70907676J;QywzgUMK4;Helena Streeter;85 Valley Edge Terrace;36;2;0;
70916218I;pumvZJloxMBW;Wyatan Verdey;87152 Lotheville Lane;39;-5;0;
70939334X;go4GrHFfami1;Kordula McNern;99932 Transport Alley;40;-9;0;
70944197P;jbyFgaRrsCJ;Winston Dorsett;73832 Kedzie Junction;38;-0;0;
70946370M;mV3U6S3;Cinda Oakeby;4 Golf View Street;41;1;0;
70958857D;J2Dgn7BwT;Salmon Trewhela;8 Dakota Junction;37;-4;0;
70973552G;2KylQo;Rois Hayer;7 Nelson Pass;41;0;0;
70974986F;Unp2TcI00;Luciana Tams;53 Barby Center;42;-5;0;
70975035Z;vloyMKNAjRV;Meryl Dalgliesh;3862 Lyons Park;40;-2;0;
70991217Q;Oh1jiKyvJQ;Gusella Kilban;3 Lakewood Center;40;-7;0;
70995988T;jf2qFEC5MZ;Ninette Jirusek;2987 Columbus Center;39;0;0;
71005240W;BzedBgd8lE;Angelica Beardall;1 Boyd Terrace;42;-3;0;
71010146A;RHwmKpqr9;Jamal Hillett;2 Namekagon Drive;38;-7;0;
71011959C;qGUfxKMMEkw;Niven Chaudrelle;28762 Anhalt Drive;41;-8;0;
71014592V;UpScNTo;Alexis Benns;85144 Donald Trail;41;-5;0;
71015265U;j9sgFujON;Alexandr Whapple;9 Bayside Parkway;40;-7;0;
71022893M;tOCCIegvmFMW;Giffard Delicate;84317 Memorial Road;35;-7;0;
71028920T;BRBLlKm6J;Hershel Virr;32 Pond Drive;40;0;0;
71032297B;VyAqVRDKXxoW;Onida Flexman;3156 Merrick Center;42;-5;0;
71044887X;t2d8dUT;Winfield Glazzard;7342 Charing Cross Lane;36;-8;0;
71047555Q;AZQn4Dn;Dulcinea Halbeard;64 Montana Drive;39;-8;0;
71048325M;4T6Ypi;Leslie Gebuhr;569 Starling Avenue;40;2;0;
71062670V;hyfsN6BHWu;Gaylord Cornforth;2 Butternut Avenue;42;1;0;
71068298J;rk0tAJdC;Inga Polden;21287 Pawling Court;42;3;0;
71102822U;DWZJPWJDJT;Arline Arnault;0 Lake View Junction;36;2;0;
71108185S;bfsP5T1YO;Demetre Lymbourne;42 Hollow Ridge Drive;43;-1;0;
71117988E;YNLwfgzd;Kenn Alcalde;859 Petterle Road;41;0;0;
71141216U;lexiKBpIH;Cecil Yakunikov;9495 Goodland Lane;41;-5;0;
71148570G;tbZJeO3;Hadleigh Ruffli;51045 Bowman Street;35;-2;0;
71154767W;DcAPvg9;Sampson Mathieu;94 Toban Pass;42;-6;0;
71161753O;L4nBvaRYk1;Rebe Openshaw;85379 Forster Plaza;37;-4;0;
71163748G;gY5009sDg8v9;Jerrome Becker;22 Mcbride Circle;36;2;0;
71169961Y;1TsWeGw3j;Alida Judge;25 Northland Plaza;38;-4;0;
71180590L;8Vigkn3;Elijah Cundict;36820 Rusk Junction;36;-1;0;
71200450I;SWq7wArcLoYZ;Ronni Matusov;5631 Carioca Avenue;39;-7;0;
71202876E;2CcCsK7;Druci Inger;45 Pond Way;36;-7;0;
71205046M;VeP0VN4mAKw;Cherise Westhofer;6588 Waywood Place;36;1;0;
71217571K;GfodTp;Jake McTeer;182 Spenser Drive;38;-2;0;
71223181Y;sAe2Gx5OKE5o;Jerrilee Malpas;8120 Elmside Parkway;39;-7;0;
71224531R;pcHupEG;Erena Follos;4 Lindbergh Street;39;-5;0;
71228470Z;t5Vp3Gz;Emmeline Dayborne;1091 Eagle Crest Crossing;35;-0;0;
71230300R;AxFrVzK;Courtney Goldby;31 Clyde Gallagher Avenue;36;-2;0;
71265277G;PyopcVWel0Xk;Freeland Sepey;6368 Cordelia Trail;37;-8;0;
71271871P;lJ5mM62BO;Cesar Gowland;811 Meadow Vale Terrace;36;0;0;
71272210X;PYvNhjsJ;Ram Fosdike;8282 Chive Plaza;40;2;0;
71276289I;sCmBxEuX;Lindie Rushforth;43470 Crownhardt Crossing;42;2;0;
71279382S;dSL4ZGGT;Dorian Maddinon;373 Vidon Parkway;42;-6;0;
71280145W;11mQVqu9I;Janeva Borghese;4 Old Shore Road;41;1;0;
71297539I;tf3RHaUFU;Nanine Morsom;5843 Heffernan Plaza;42;2;0;
71312828W;Iiz9sGIW;Otho Burdett;8 Lotheville Lane;39;-4;0;
71313907M;opsqu7NxY;Darcey Sultana;79 Hagan Hill;39;3;0;
71331746L;AMq05JwL;Marley Storry;34367 Harper Terrace;38;3;0;
71332527Q;TNKH4lQT;Pascal Kedwell;371 Coleman Trail;41;2;0;
71350490S;SQlsb4siEGH6;Florina Andrejevic;3018 Mesta Way;36;0;0;
71358910J;otk2Dnw;Toddie Gurney;6 Clarendon Pass;42;-1;0;
71366852V;D5iE3GXc;Osborn Scirman;1 Oak Valley Circle;42;2;0;
71368136G;GTUrnMdGqdI;Eve Passo;3920 Buhler Plaza;40;-9;0;
71379127P;d3agTiQyPRU;Pansie Meddows;79 Truax Pass;36;-8;0;
71384477O;UA8GFSUTklz;Arlana Dominichelli;8 Cherokee Terrace;39;-2;0;
71442562V;7Dr2Cb9Gx6Q;Crin Hamilton;266 Crescent Oaks Trail;37;-7;0;
71446602E;TJ91YxLEf2;Chip Spore;6536 Harbort Drive;38;-4;0;
71470175B;deY3jYSc;Rurik Newhouse;5 Carioca Road;43;-4;0;
71478350C;8q4A1p10DK;Gerti Carruthers;1034 Debra Alley;38;-4;0;
71483279M;MqhPHqo7zVWC;Amber Bessett;58712 Johnson Junction;43;0;0;
71487684F;5DrGyOb;Erie Olivelli;76963 Katie Road;38;-7;0;
71493440B;GVLRFSaF;Ikey Starling;59948 Aberg Circle;43;-4;0;
71496444W;OIBJcvV9QL;Blakelee Goatman;30 Messerschmidt Parkway;41;-5;0;
71498999L;iByahzQjFM;Karel Mainz;819 Hanson Place;40;3;0;
71508008L;hdMa1xm;Reagen Omand;92355 Westridge Junction;42;-5;0;
71511647F;QI2yq6RJr;Delano Abrahamovitz;50 Fuller Avenue;41;2;0;
71517377D;xLWRGtbsLc;Aliza Kubach;6988 West Point;41;-2;0;
71524430E;xHHmJYENAN2;Daniele De la Yglesia;4 Bayside Lane;35;-5;0;
71529514M;pkNAG1GAE2k;Carree Blonden;55815 Moulton Crossing;42;0;0;
71531456N;F6qhQJOLC;Giustina Mussilli;8638 Jana Circle;38;-2;0;
71541005A;VWYUtHA;Pepe Nicholl;73 Gateway Circle;39;-3;0;
71557452R;KrSCMKdKsUit;Bertha Glennie;53 Sundown Terrace;41;-8;0;
71576807V;LLsmTUeCg;Luis Pateman;7 Golf Course Center;40;-8;0;
71576871M;m9zVF5ryxYj;Bronnie Sirey;2721 Killdeer Place;39;-9;0;
71577665F;mGvHZP01i;Damien Painter;3953 Hovde Pass;40;-5;0;
71607071P;npNh6TlD;Amber Whiteson;0514 Sunnyside Terrace;39;2;0;
71609927M;ln4uTM;Abey Mosedill;61542 Green Ridge Way;42;-0;0;
71629047O;lcJnJexqaLcq;Hersh Budgett;532 High Crossing Court;40;2;0;
71639183X;KUih0K0Od;Jed McNamara;40633 Talisman Trail;38;-2;0;
71649416E;LKCyWb;Caitlin Reed;844 Sundown Terrace;39;-9;0;
71686402T;DhhwY97;Maximilianus Severns;38218 Park Meadow Plaza;41;-8;0;
71700115J;4oqyeT2Mf0vm;Wini Blazy;4 Schlimgen Terrace;35;1;0;
71719034R;XfMYWsas;Cecilio Napper;7 Dawn Drive;41;-4;0;
71731974O;EEwNYSMQq1WT;Kevon Paulley;7 Hudson Alley;38;-9;0;
71747240P;XiFteEIZxBQ;Archibald Lampl;21 Esch Crossing;42;-0;0;
71750360R;1yKW6mz;Marylinda Cogdell;9348 Quincy Way;42;-2;0;
71764845F;EONkAPFQjL;Idaline McKerrow;75071 Vermont Park;38;-4;0;
71803000V;IqB5I15qHNt;Cynde Bielby;22211 Blackbird Terrace;36;-6;0;
71811156O;ytfgHxxEz4h;Alison Hockey;0235 Burrows Lane;38;3;0;
71817975X;EnJ1wnND1Ka4;Enrika Yurkov;3 Lakewood Junction;41;1;0;
71824310Z;kDawl8eWQj;Reider Petyankin;43364 Swallow Center;38;0;0;
71863880T;P4JcPKwhl;Averil Blanshard;8 Washington Circle;37;-2;0;
71874895Z;vYTLYMsO;Catie Henner;522 Buell Crossing;42;2;0;
71892654M;F7UHD8capq;Vicki Chaize;60 Birchwood Lane;42;-8;0;
71893287B;TIkBxzw;Lanny Geertje;5956 Summer Ridge Drive;37;-4;0;
71899807M;wyePHHZUA;Alessandro Wem;5775 Morning Drive;41;-0;0;
71902826U;tfMFBw53F;Wallie Reinhardt;45471 Village Green Way;36;-2;0;
71967460X;2SmbVvU;Lorrayne McVity;601 Harper Hill;41;2;0;
71971693J;6kKIH82sa;Flori Kinder;977 Carpenter Point;42;0;0;
71972568N;HA9qFlPD;Riordan Matyushenko;83 Arrowood Trail;37;-6;0;
71976137D;WjV0vKd9KznI;Emilee Fibbens;4375 Chinook Road;36;-1;0;
71977774V;VRJE8iFR8A6G;Stanley Britzius;7806 Bultman Point;39;-4;0;
71979879R;2qy2CMxaO;Gaelan Somner;9 Alpine Place;35;2;0;
71981873C;wDyBkGJq;Rolph Alldred;98 Mitchell Plaza;40;-8;0;
72001943S;HGMmnS;Immanuel Dahler;73488 Bayside Circle;37;-6;0;
72010484E;zYQxdoozYzv;Lucie Norwood;1 Tony Lane;41;-7;0;
72016050W;rKIboyS4Wo;Aldous McCaffery;1 Vidon Lane;38;2;0;
72025081Y;x0Fhrfgfft;Anabella Clewer;7696 Truax Avenue;37;-6;0;
72032677Z;Nzqy3e;Stanislaw Lathom;8 Monica Parkway;36;-5;0;
72071666E;pSZUrkoqtqIJ;Shalom Heijnen;3 8th Crossing;37;-0;0;
72083268X;5IoYSpPKxb;Cariotta Ind;7 Bonner Road;42;-6;0;
72089256F;QuEjrsu;Erwin Vlasyev;13659 Chinook Terrace;38;1;0;
72094818Q;N5rxrk4sN;Debora Quin;56 Merry Drive;42;-5;0;
72100520F;0w2aaz4AU;Gun Clew;65849 Corry Trail;41;-3;0;
72109380I;7vj4rA;Jessalyn McCrohon;3571 Bonner Road;36;-4;0;
72117713V;ItQG0KIPOKKj;Janene Abernethy;4655 Bayside Junction;39;-5;0;
72139106R;Uoc7wr;Dunstan Felgate;09 Ridge Oak Pass;37;0;0;
72146999Z;xPciGi9;Ambur Fossey;56591 Texas Junction;36;-2;0;
72157482J;x2JdP3yr;Orville Towl;0401 Prairie Rose Center;42;-0;0;
72180570S;LHtcf94ZF;Fran Gautrey;9694 Ronald Regan Street;38;-4;0;
72195869A;2V84nga;Jaynell Truwert;77 Dawn Road;41;0;0;
72202061I;R50YpIG;Austen Viall;60120 Oakridge Plaza;38;2;0;
72209277X;mH6cTkw2;Reid Koppen;8 Randy Trail;42;-4;0;
72219179I;9NueGfhdN;Audre Folk;72 Elgar Drive;42;-8;0;
72229889Q;rTyBZlllY;Sydney Ilymanov;54 Old Shore Street;37;-1;0;
72231893N;xfM6u6n;Abel Skullet;87 Novick Parkway;40;1;0;
72231907A;qKJmlWz;Melinde Ivanonko;20250 Garrison Street;36;-1;0;
72247103B;E7dnLQZ;Cheryl Munro;4 Fulton Court;38;2;0;
72274270O;V0v0m6;Catlin Yokley;10505 Marcy Court;39;-4;0;
72277737U;i0bxZ0;Tiertza O'Fergus;36 Reindahl Crossing;37;1;0;
72284877R;mHcdAejro;Justus MacFaul;9383 Butterfield Road;41;1;0;
72285380M;jeWpaHN1la;Gibby Gieves;15301 Springs Road;39;2;0;
72293880K;YA2zpASgns;Jaclin Uzelli;9029 Scott Street;36;-2;0;
72297146R;Y1q2tZ;Othella Lafay;82 Springs Court;36;2;0;
72308531U;hGC4sjjf;Ingemar Shawl;9954 Clemons Plaza;36;-1;0;
72314003V;kmNmozZT;Timmy Celes;6 Brentwood Plaza;39;-9;0;
72327848W;KEKuic;Pepillo Degoe;3 Packers Center;41;1;0;
72350004K;RSXBOyGF;Marybelle Crufts;1296 Hollow Ridge Trail;40;-9;0;
72360483Y;QFbpmhZW;Gayla Woehler;99156 Barby Hill;41;-8;0;
72361289M;PlfoE1UsR8;Coriss Glancy;478 Hauk Parkway;42;1;0;
72366221W;haKc1gO;Lazare Snoxell;3 Northport Crossing;40;-4;0;
72380897R;Be67Cqc;Rooney Hamelyn;610 Doe Crossing Avenue;37;2;0;
72383606Q;D7vzyJfM;Lorrin Driutti;4719 Loeprich Crossing;39;-7;0;
72383711W;nvdby4YE;Casie Rosenbush;00504 Grasskamp Way;39;-4;0;
72396701B;kAiZ9h4d;Tess Songust;64095 Browning Place;42;-6;0;
72398361I;EYlrgcHPPWl;Elissa Weir;9 Hayes Way;40;-2;0;
72408426O;dxEWP6W;Domeniga Grosvenor;99 Summerview Drive;39;0;0;
72410831Y;zI0Dc0LD;Portia Josskowitz;08 West Road;37;-8;0;
72412269Z;wcd6LP1M1NW;Maurice Daal;4906 Starling Center;42;-4;0;
72415615G;a4bFAa;Gregory Brake;6652 Milwaukee Junction;42;-1;0;
72421228B;4T9eD8;Percival Dixey;4 Eagan Alley;39;-3;0;
72448547H;pbImB56o;Jeniece Paszek;9667 Susan Circle;37;0;0;
72460154K;JJ8MJAAC;Alika Boddis;8219 1st Drive;41;0;0;
72474468C;DtUAEm;Kleon Durman;7919 Prairieview Hill;37;-4;0;
72483247D;DN7pipXWdR3c;Devland Ephgrave;167 Oak Parkway;38;2;0;
72493471M;2VC4pz;Bink Edess;9 Sugar Crossing;38;-1;0;
72521700O;Y1fQ0g7a1;Udale Filipponi;76004 Vera Road;41;0;0;
72521808V;kGQQfe7Dx;Angel Thynn;56836 Carey Place;39;-1;0;
72531529B;kKq3x0TS;Abbot Beckworth;21 Kensington Center;38;-4;0;
72550463M;ZUpl7Ifw;Lorrin Robeiro;30334 Carey Drive;38;-7;0;
72553754N;UiAgSii7quWm;Vance Primak;82 Nova Road;38;0;0;
72561098E;T5xaN6ym77;Jenny Charnock;145 Scoville Lane;39;-0;0;
72571809C;uvQz7a;Catina Dahlman;4 Eastwood Place;42;-3;0;
72577351N;LorsBjPxh;Rich Plume;7855 Lotheville Plaza;38;-1;0;
72585120F;tMiULwM620SS;Blair Canland;93495 Hovde Plaza;41;-0;0;
72587760H;Dkg6iIQa;Helaine Gemelli;4 Oneill Hill;37;-6;0;
72597154J;gJUGcrMO;Ambros Mithun;255 Hayes Point;38;2;0;
72601192M;SdSfRi2p51ND;Reiko Warrilow;66 Trailsway Alley;42;-1;0;
72603115K;RcZ7ABX;Hodge Wicklin;1 Warrior Way;37;-6;0;
72626517H;dnwe5YUpFZ;Burnard Doohey;9 Miller Junction;41;-7;0;
72638191I;sHs2y7;Goldi Morgan;06972 Briar Crest Road;39;-2;0;
72646272C;crKlse;Niki Dilleway;90990 Hintze Hill;37;1;0;
72648050X;6BEKDx1Re;Jon Aked;9 Meadow Ridge Hill;42;-6;0;
72663232Z;fIFBO588;Seana Nudds;987 Roxbury Way;36;-2;0;
72663393S;mSxt6XTv;Philly Bottoner;7 Morrow Court;37;-0;0;
72668181Q;FKVf4xyKCYY;Brucie Powter;3625 Rutledge Parkway;42;-3;0;
72680958K;JkW0mlu3B;Kania Soar;14 Northland Terrace;40;-6;0;
72716802V;FyzRFD;Sergio Ullrich;2 Havey Avenue;41;-3;0;
72731807B;Ei8nJItKk;Clayton Sharpe;53 Hoepker Point;40;-3;0;
72777503A;7tomvViQ;Emmi Barnewille;357 Clyde Gallagher Point;42;1;0;
72780519Z;l4P3qB0joW;Pat Pentycost;2476 Hintze Trail;42;-1;0;
72791320A;tgTK0iHrSE;Willis Tape;4 Monterey Court;36;-0;0;
72798898L;IQyvBqWoD;Maurie Blandamere;68 Anthes Junction;40;-6;0;
72802161G;gu1w23;Bo Poytress;4440 Cottonwood Circle;42;-8;0;
72807337M;pdDB8eWYXhjS;Ellen Hedges;03 Lakewood Point;42;-4;0;
72823918N;l4eW2iR;Roxanne Abdie;507 Basil Alley;38;-4;0;
72836014N;MaeF1lk;Druci D'Avaux;9 Lake View Lane;40;-4;0;
72837264D;7uNFoJ;Daryl Keenlyside;16 Swallow Parkway;41;-3;0;
72841441L;CDeDEdxxf;Rahel Andrejs;6588 Maryland Junction;39;-4;0;
72883160E;sHW9Ctjpa0m8;Erick McLaren;69121 Gateway Trail;42;-1;0;
72884715J;XN3KbLO;Torey Pears;21 Transport Terrace;38;-0;0;
72888741C;HNmyvln01u;Gerhardt Dyson;06 Cherokee Lane;41;-1;0;
72889593B;8IjJmQG2;Arda Rogans;9 Manley Street;36;-5;0;
72907427U;iucWIu9;Lindsey Sheldrake;5124 Sunnyside Trail;42;-7;0;
72911821P;gvbymE;Allyson Aldwich;94334 Mifflin Hill;37;1;0;
72915150D;7pR0Nt4cvlv;Ward Scrowson;712 Express Terrace;41;2;0;
72915367H;udG2F8wo;Starlene Paolicchi;85751 Old Shore Alley;37;-4;0;
72916597Y;gFbV03rXDvz;Julita Trudgian;47 Dayton Avenue;36;1;0;
72919417V;Z1ND66vFj;Lane Begg;4591 Thackeray Way;35;1;0;
72924333F;dZjw5ad39XnW;Bartholomeus Stanbury;355 Darwin Trail;36;-0;0;
72929195C;wSHqjiDDb4y;Ezequiel Mazzey;25342 Melvin Street;38;-5;0;
72938307K;GgcEE4gOXppr;Rance McLemon;4 Parkside Crossing;38;-5;0;
72939321T;tfL9Ou;Alexia Calabry;560 Brentwood Court;41;-5;0;
72958485X;vH7OLs;Whitney Bertson;651 Calypso Hill;36;1;0;
72959669Q;WRkBbS6eg;Glenda Bettinson;2065 Gale Junction;38;-3;0;
72962871Q;H4N6dwGp9;Emmie Sefton;18 6th Pass;36;-3;0;
72966772A;xT1eYldZLV0i;Davine Woolfoot;582 Briar Crest Center;36;-6;0;
72971259X;1D8Q44eZDuOt;Hamlin Giggie;3111 Lake View Hill;40;-7;0;
72979526O;Fi7ckHZbpuNV;Gwenora Ellesworthe;4488 Green Parkway;40;-0;0;
72986610Y;Um4X5noiVV;Skippy Bartleman;4690 Shelley Park;38;-8;0;
72995448O;SyOAsqY;Shanta Curado;96013 Donald Lane;40;-5;0;
73015697B;kJvRK7Q;Ingrid Lestrange;43292 Bay Pass;38;-5;0;
73036623A;tXpiAT;Carly Caldecourt;8 Miller Street;39;-8;0;
73040657F;cllbXI;Nona Dunthorne;2132 Center Place;41;-9;0;
73072081D;eRWprklsUh;Augustus Gaunson;411 Mallory Terrace;39;0;0;
73082931B;NrnmuC;Bridget Ploughwright;31359 Loftsgordon Road;40;3;0;
73088753I;k8HAa3Q8;Loralyn Hincks;29 Warbler Road;36;2;0;
73098785Q;6jbeEVo3SDp;Lenee Havercroft;0510 Welch Court;38;-9;0;
73103266Z;7R96ppM;Christiane Hurkett;249 Pierstorff Plaza;38;-6;0;
73137475W;hym5wksa;Alvan Brookshaw;597 Monument Plaza;43;2;0;
73213386H;jWuGGphZKbM2;Horst Tym;346 Bashford Alley;38;-2;0;
73222649H;FedxBj8ZHKz;Ardith Wallington;091 Helena Street;35;-0;0;
73231077E;9zMiICP17;Lydon Vannuccini;036 Redwing Park;41;-8;0;
73255746H;dZxRDK;Wood Sandifer;558 Calypso Way;38;1;0;
73274745E;hvgv4ON;Tymon Silman;264 Dayton Court;37;-1;0;
73308270S;FHRlunsiOjE5;Griz MacAllester;147 Kim Road;39;0;0;
73314675K;E7zoSAS;Haywood Garrison;13 Commercial Point;39;-6;0;
73333424O;M0dj9o938Y;Beltran O'Crowley;9319 Bartillon Parkway;37;0;0;
73361583U;jYFcNU8O8;Gawen Mayou;391 Sunfield Park;42;-9;0;
73362134N;6TeismoJk;Juliane Ramirez;0 American Ash Trail;39;-7;0;
73383239D;EJIrXlg6;Ursola Philler;2 Anthes Trail;41;1;0;
73385085Q;NkoOTjTpN6l;Joice Agnolo;407 Grayhawk Crossing;38;-0;0;
73416848N;G2eayOMlPAd;Christel Heineke;0224 Pierstorff Parkway;41;-1;0;
73418668W;c1KRo5v9XRD;Vidovic Rilings;52455 Memorial Alley;37;-1;0;
73420649X;cbDK404;Modestine Lippitt;18022 Thackeray Lane;36;2;0;
73424895S;YM7ENPg;Silvio Prickett;21 Roth Street;40;0;0;
73513469G;OTRDamWyZkM;Aloysia Agett;67 Straubel Place;40;-1;0;
73526959B;QabcCJ;Krishnah Ratledge;56 6th Court;36;-2;0;
73532016W;iVTrOGRKdxAc;Ivonne Harly;990 Ruskin Drive;37;-7;0;
73546191X;a7UBYSUa;Jud Josefson;5 Bayside Street;38;-6;0;
73559065K;bYRVVZ;Ward Annis;89845 Golf Hill;37;-0;0;
73565915N;FckFUVRiHQa;Pollyanna Erratt;87635 Maryland Terrace;40;-3;0;
73606352O;cPZIsjuY;Hoebart Gerty;2 Loeprich Point;38;0;0;
73610061T;HrXovabS;Barbabra Brogini;79 Pierstorff Trail;36;-0;0;
73623297P;PWdKz6NN0aG;Zorine Mattioni;50058 Lyons Point;40;0;0;
73625759U;ApUGpQstl;Garnet Napoli;80 Kim Junction;38;2;0;
73628441U;AxAOz9G0;Pia MacPaike;55 Vera Street;36;1;0;
73629101A;9wSSsgvIPF;Bram Smaridge;9157 Reindahl Crossing;37;-3;0;
73643817L;pU1Ayi78sDg8;Debra Screach;0859 Northport Parkway;40;2;0;
73644598Z;dU86j7CO;Kyla Barlthrop;668 Commercial Crossing;39;-5;0;
73645546M;iwcOALRxlF;Karie Donaldson;677 Pankratz Way;40;-1;0;
73663312N;hOASq0f0;Susanetta Dmiterko;77 Harper Plaza;39;-1;0;
73663719A;qqnFm0HLm;Clara Crips;9760 Burning Wood Parkway;39;-0;0;
73665747N;Nh6scFB;Efren MacCaffrey;296 Doe Crossing Lane;41;0;0;
73671118Y;vM9QEyQk;Jacques Gudahy;6548 Eagle Crest Circle;39;-1;0;
73677566M;WyWXYyV;Galina Rosoni;0 Gale Drive;41;-7;0;
73685781O;ckl2zDFLYBT;Lisbeth Clitherow;021 Granby Circle;38;-4;0;
73690944U;BoMH3e6FvL;Barnebas Spadari;4833 Stone Corner Alley;39;-3;0;
73696615Y;d0upIH1KbD9h;Frederique Peasgood;6 Independence Lane;42;-0;0;
73706746K;ONIEtUHkb6;Jaquelyn Lockney;362 Brentwood Terrace;38;-2;0;
73732544J;ac1jAWg;Lainey Berston;49 Vera Hill;38;-7;0;
73741009Q;Whn9F8P47k;Hilly Guilleton;84361 Schurz Circle;36;-4;0;
73741825S;GSiQoPHQe;Gauthier Eskell;3 Mifflin Lane;40;3;0;
73741956X;cL5yt2;Jareb Grosvener;4950 Swallow Alley;40;-4;0;
73748156R;6TwoAU;Jacinda Irce;6788 Shopko Hill;41;-0;0;
73790284F;nyZkHMAa;Nesta Nizard;225 Ramsey Alley;43;-9;0;
73801728P;Z5bGVLGGw;Vivianne Broader;38 Portage Crossing;40;2;0;
73808879F;lYiWPLuc0xgq;Pebrook Dowgill;38 Hoepker Hill;37;-8;0;
73824958O;LBMkH2sfg69;Jeni Kemmis;7 Caliangt Place;40;-0;0;
73883054W;pCqX2pKs;Gare Hovy;39 Cherokee Point;41;1;0;
73893511W;tAPUBk8lsBL;Rosemaria Linggard;32 Westport Hill;38;-5;0;
73894575L;Bksssj8JXbM;Fawn Highway;95 Scofield Hill;39;0;0;
73906327U;ihnvrQyRpXKJ;Annmarie Bulfoot;4210 Roxbury Court;38;-1;0;
73914840B;bqUd4Vb;Kamillah Tebb;31196 Northland Way;40;-3;0;
73917416K;dDZ1aI7pYVyw;Sabine Fincke;3497 Hansons Point;43;-6;0;
73920445J;wnzZm6;Lauryn Cheshire;77229 Spenser Crossing;39;-0;0;
73938541K;S95b2d;Lulita Klain;332 Fieldstone Trail;42;-6;0;
73957387T;57mjT2I9N;Colette Coo;987 Cordelia Street;42;-0;0;
73964743F;XZfVYO;Antonina Tonna;44 Kinsman Circle;39;-2;0;
73969479Q;ly5IjZiRRT;Derwin Kiffe;5 Iowa Center;36;-2;0;
73970620W;REHttQ0d;Amanda Siman;8171 Becker Alley;38;-3;0;
73979702W;g2etypdEZm2t;Hermon Gethyn;06 Dawn Lane;42;2;0;
73981621A;3NBQCG;Kelcie Tilbrook;67 Lakeland Pass;42;-3;0;
74010704Y;Nv9Yvk0;Lynnett Paddick;76338 Summerview Circle;39;-0;0;
74027625X;zNsSao9scf;Lesley Pickworth;91884 Fieldstone Hill;38;-4;0;
74044874U;KmLaEGVS;Bettye Earwaker;2 Bay Crossing;40;-8;0;
74060414B;NREVpr2j;Jeanelle Reeks;46 Rutledge Center;42;-4;0;
74069087J;bv8qSo;Jen Vasler;36822 Washington Junction;42;-2;0;
74092989Q;lHjQAtcq;Paddie Mabe;3793 Glacier Hill Crossing;41;-1;0;
74098872H;MfiQFOp46Y4i;Ximenes Curm;14216 Ridgeview Park;42;-0;0;
74116551N;yla3qW1p;Yancy Heams;4 Nobel Court;40;1;0;
74136373G;s6FGrPbdqN;Norman Cabrara;227 Darwin Plaza;41;-2;0;
74143574V;jixUbUr;Carolee Hutton;6 Pawling Trail;37;-7;0;
74166962D;bOLK2R;Rockwell Esson;78 Stephen Place;40;-8;0;
74167782O;TuEchCD93as;Silvana Millis;78286 Mayer Plaza;41;-0;0;
74172241J;TnmD7I2;Roosevelt Binley;6204 Spaight Trail;42;2;0;
74189419S;mn4WXG9wGtU4;Flint Hapgood;980 Meadow Ridge Street;36;-6;0;
74254321P;BSIclX;Vance Matteoni;2966 Lyons Crossing;36;-6;0;
74272490A;cnFuaaO0;Jules Pash;3514 Ronald Regan Hill;40;-1;0;
74274620R;1UQwHjV09O;Cirillo Dulany;41507 Scott Plaza;37;-9;0;
74277449F;pBftALHF;Marquita Sivil;03 Becker Crossing;40;-6;0;
74301305S;jUSWXorPe;Waylin Robinson;34 Logan Way;35;1;0;
74309237O;m0Xoax2I;Kelila Molyneaux;9 East Court;37;1;0;
74312591N;IuC9cz8p;Derrick Neilus;40 Raven Road;40;-4;0;
74336559B;0VQpuqrBB;Cly Brinkler;87238 Hoard Street;37;-4;0;
74338534Z;ctLZMJNOJX;Sherwood Putman;43 Harper Drive;40;-5;0;
74339519U;Wa6CD0Nsm;Stanford Iggo;88131 Crescent Oaks Junction;37;2;0;
74340473Q;JAtXoqk9Nbtn;Jacynth Schanke;01 Carioca Pass;39;-1;0;
74360006C;zu55klgO6;Guillemette Burnhard;93752 Westerfield Avenue;39;-7;0;
74362209L;wRGvbJ6Cx2T6;Caz Antoszczyk;603 Carey Street;35;-7;0;
74362952Z;Q2PEz91;Emlyn Mallabone;44529 Randy Park;43;-6;0;
74368472Z;twYj1AOf2jz;Beryl Clavering;4 Mayer Place;37;-4;0;
74368600Q;fJ0m3c07;Giffer Pond;3430 East Park;39;2;0;
74401864R;DL1F7s;Leupold Woolmore;93309 Reinke Street;37;-9;0;
74402934P;lg2F6ta;Denise Oatley;45 Hoepker Junction;38;1;0;
